Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,0,44.47053382,96.5468,98.16,98.2,98.2400163,98.25520119,99.01095399,99.50494117,99.5327519,99.68701957,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,0,0.52753245,12.3,13.5,14.9,16.5,18.2,20.08130004,29.52351142,43.40544313,46.31,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,0,0.925563864,14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449,62.10447842,66.48461277
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,0,0.93419002,29.95,39.35,45.33497615,53.22677167,64.04397362,70.200565,72.45090477,75.56986637,78.5957366,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iraq,IRQ,0,..,9.2,13.21,15.2,19.9,26,33.9,44.32634655,45.7863696,48.91718718,78.71561135
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ireland,IRL,0,17.85046724,78.2477,83.49172234,83.49479167,83.5,84.11400706,87.00014011,87.00005524,91.99989097,95.16956667,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Israel,ISR,0.110773866,20.87379,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,83.73315696,86.78787762,90.12734091,90.29689758,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Italy,ITA,0.017544562,23.11087424,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,67.85071029,70.48342785,74.8623274,85.06074504
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jamaica,JAM,0,3.115778027,37.1,40.4027351,42.22122119,44.36685637,55.07206705,68.21451709,70.84101697,79.43244028,82.36071561,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Japan,JPN,0.020293683,29.99074036,88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,88.74635089,92.73039781,90.21945812,82.91407928,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jordan,JOR,0,2.623275422,41.4,46.2,54.22,56.15,64.5,65.2,70.08467395,75.44769493,85.999997,..
